practice,country,summary,img,audio
"Rūkada Nātya, traditional string puppet drama in Sri Lanka",Sri Lanka,"Rūkada Nātya is a type of drama performed using string puppets, traditionally to provide light entertainment and convey moral lessons to village communities. Rūkada Nātya is performed by family groups who belong to, or are connected with, the lineage known as Gamwari, living around the southern coastal towns of Ambalangoda, Balapitiya and Mirissa. The themes are chosen from folktales, Buddhist stories, ancient literature, historical narratives and trivia with humorous anecdotes from contemporary life or nadagam, an extinct form of ‘folk opera’. Puppeteers make their own wooden puppets and prepare handwritten scripts with dialogues and songs, which they recite while manipulating the puppets. A small band provides a musical accompaniment, and performances are community events. Through the medium of puppet drama, worldviews and core values essential for peaceful communal co-existence come alive for young people to easily comprehend; the practice is therefore an effective way of conveying messages crucial for maintaining cohesiveness among community members. It also allows community members to laugh and have fun together, helping them socialize. Museums play a key role in contributing to the dissemination of related knowledge, as does the traditional practice of holding performances during festive times in May and June at temple premises, traditional community centres in Sri Lankan culture.",N/A,https://ich.unesco.org/doc/download.php?versionID=50711
Singing to the accompaniment of the Gusle,Serbia,"Singing to the accompaniment of the Gusle – a simple string instrument – is an ancient art of performing primarily heroic epics practised for centuries as a form of historical memory and an expression of cultural identity. Performances involve a complex form of interaction between the audience and performer and are based on the skills and creativity of soloist artists (guslars): the guslars’ ability to dramatize poetic content, body language and charisma are key for successful performances. The repertoire includes songs predominantly about mythical and historical heroes, events from the legendary past, ancient or recent history and, less commonly, ballads and humorous songs. Stage performances take place locally, at festivals, and as part of commemoration practices. Covering a wide range of topics, the songs reflect the value system of the community and their interactive character fosters community feeling. Most modern guslars acquire the basic singing and playing skills from more experienced players in their family, local community or a guslar association, but the skills are also transmitted in public music schools. Local organizations are assembled around the Union of Guslars of Serbia, whose efforts have resulted in the establishment of the Festival of Young Guslars and the Assembly of the Young Guslars of Serbia.",N/A,https://ich.unesco.org/doc/download.php?versionID=50708
Tamboradas drum-playing rituals,Spain,"Tamboradas drum-playing rituals are loud, group rituals based on the simultaneous, intense beating of thousands of drums, played uninterruptedly for days and nights in public spaces in towns and villages. Each year, this creates a captivating landscape of sound and identity in an atmosphere charged with emotion and an intense feeling of collective communion. The tamboradas are part of the Catholic Holy Week celebrations, and have special significance according to different places, days and times. Everywhere, whether religious and devotional or secular and playful, the practice creates a landscape of sensations and mutual respect. The costumes, instruments, drum beats and drum rolls generate a rich local craft in which families and women play an important role. Shared meals in public spaces also enhance the feeling of friendliness. Communities prepare for the ritual all year round and are organized into different groups. The practice and knowledge are transmitted within these groups by the most experienced individuals, and the transmission process generates a strong sense of belonging to the group and a deep connection with the ritual among the entire community. Various events ensure the intergenerational transmission of the practice, such as children’s and national tamboradas, drum roll and embroidery workshops, and competitions.",N/A,https://ich.unesco.org/doc/download.php?versionID=50710
"The skills related to perfume in Pays de Grasse: the cultivation of perfume plants, the knowledge and processing of natural raw materials, and the art of perfume composition",France,"The skills related to perfume in Pays de Grasse cover three different aspects: the cultivation of perfume plants; the knowledge and processing of natural raw materials; and the art of perfume composition. The practice involves a wide range of communities and groups, brought together under the Association du Patrimoine Vivant du Pays de Grasse (Living Heritage Association of the Region of Grasse). Since at least the sixteenth century, the practices of growing and processing perfume plants and creating fragrant blends have been developed in Pays de Grasse, in a craft industry long dominated by leather tanning. Perfume plant cultivation involves a wide range of skills and knowledge, for instance pertaining to nature, soil, weather, biology, plant physiology and horticultural practices, as well as specific techniques such as extraction and hydraulic distillation methods. The inhabitants of Grasse have made these techniques their own and helped improve them. In addition to technical skills, however, the art also calls for imagination, memory and creativity. Perfume forges social bonds and provides an important source of seasonal labour. Related knowledge is mostly transmitted informally through a long learning process that still takes place primarily in perfumeries. In recent decades, however, there has been a growing interest in standardizing learning through formalized teaching.",N/A,https://ich.unesco.org/doc/download.php?versionID=50694
Traditional Korean wrestling (Ssirum/Ssireum),Democratic People’s Republic of Korea and Republic of Korea,"Democratic People’s Republic of Korea
Ssirum (wrestling) is a physical game practised popularly in all regions of the Democratic People’s Republic of Korea, where two opponents try to push each other to the ground using a satpa (a fabric strap connecting the waist and leg), their torso, hands and legs. Ssirum is distinguished by the use of the satpa and the awarding of a bull to the winner. Since ancient times, Koreans have practised Ssirum for physical training purposes during breaks from work and, especially, during big contests on folk holidays. On folk days, when Ssirum takes place, lots of people (old and young) gather around the ring: wrestlers compete using diverse techniques; spectators enthusiastically cheer on their favorites; and the winner rides a bull in celebration. As an exercise of the whole body, Ssirum fosters the cultivation of the body and mind. It also encourages mutual respect and cooperation, contributing to the harmony and cohesion of communities and groups. Pyongyang, the capital city, plays a central role in enacting, protecting and transmitting Ssirum, comprising a number of communities, organizations and institutions concerned with the practice, including the Korean Ssirum Association. Koreans start learning Ssirum from family members and neighbours from childhood, and it is taught by educational institutions at all levels.",N/A,N/A
Traditional spring festive rites of the Kazakh horse breeders,Kazakhstan,"Traditional spring festive rites of the Kazakh horse breeders – taking place in Terisakkan Village in the Ulytau District of Karaganda Oblast – mark the end of the old and the beginning of the new yearly horse-breeding cycle. Rooted in traditional knowledge about nature and the age-old relations between man and horse, the rites involve skills inherited from nomadic ancestors, adapted to present-day reality. Preceded by year-long preparations, the main constituents of the practice are: ‘Biye baylau’ (literally, ‘tethering mares’), the ancient ‘first milking’ rite encompassing the separation of mares and foals from the herds, milking the mares, and celebrating with songs, dances and games; ‘Ayghyr kosu’ (figuratively, the ‘stallion’s marriage’), a recent rite for adjoining stallions in herds; and ‘Kymyz muryndyk’ (metaphorically, the ‘initiation of koumiss’), the ‘first koumiss sharing’ rite, opening the season of its production and sharing. The rites take around three weeks in total, until the koumiss sharing ceremonies, which take place in every household, are over. The rites open a new yearly cycle of reproduction and manifest traditional Kazakh hospitality. Faced with the forced transition in the twentieth century from a nomadic way of life to a settled one, bearers have adapted the traditional form of horse breeding to meet present-day conditions to ensure its continued viability.",N/A,https://ich.unesco.org/doc/download.php?versionID=50695
"Land-of-Legends programme, for promoting and revitalizing the art of storytelling in Kronoberg Region (South-Sweden)",Sweden,"The Land-of-Legends programme is aimed at promoting and revitalizing the art of storytelling in the Kronoberg region of southern Sweden. In Sweden, as elsewhere, factors such as industrialization, urbanization and television and social media have led to the disappearance of traditional venues for storytelling and modes of transmission, with practices of telling stories to exchange experiences and convey knowledge and values dying out. In the late 1980s, a number of librarians and teachers in the Kronoberg region organized a festival involving practitioners, enthusiasts and experts from various parts of Sweden to discuss this situation and devise possible solutions. Shortly after, in November 1990 the Storytelling Network of Kronoberg was created (known as ‘the Association’) to raise awareness about the endangered viability of storytelling and develop measures for its revitalization. The Association initiated the Land-of-Legends programme, which organizes a range of activities including a storytelling festival, camps for teenagers, activities in schools and academia, courses for future teachers and remedial activities. Over time, international contacts have been developed and several aspects of the programme have served as a model for activities elsewhere. The programme links storytelling to other forms of living heritage, helping to revitalize and promote it as a living art.",N/A,https://ich.unesco.org/doc/download.php?versionID=50720
"Al Azi, art of performing praise, pride and fortitude poetry",United Arab Emirates,"Al Azi is a traditional poetry recital performed by a group of individuals without rhythmical or musical instruments. It consists of a full-rhymed poem based on traditional poetry and the lines of poetry are sometimes interposed with sayings and proverbs. Bearers and practitioners include the poet, performer, chorus and audience. The practice strengthens bonds and is connected with knowledge and practices related to nature. Al Azi was performed regularly by communities until the mid-1900s, when performances began to dwindle gradually. Due to development, thousands of inhabitants moved from the desert to urban areas, and the economic boom from 1970 to 1990 led to citizens abandoning employment in traditional sectors and the culture and arts associated with such activities. Another factor has been the enactment of State laws instead of traditional tribal customs. The number of poets has decreased greatly over the past twenty years. Despite these challenges, Al Azi has withstood extinction thanks to the efforts of a number of creative people and traditional art troupes. The practice enjoyed a revival several years ago when it was introduced into national events, with a highly successful theatrical production, and media coverage has helped revive Al Azi, encouraging more poets to compose Al Azi poems.",N/A,https://ich.unesco.org/doc/download.php?versionID=50745
Colombian-Venezuelan llano work songs,Colombia and Venezuela (Bolivarian Republic of),"Colombian-Venezuelan llano work songs are a practice of vocal communication consisting of tunes sung individually, a capella, on the themes of herding and milking. The practice emerged from the close relationship between human communities and cattle and horses and is in harmony with the environmental conditions and the dynamics of nature, forming part of the traditional animal husbandry system of the Llanos. Transmitted orally from childhood, the songs are repositories of the individual and collective stories of the llaneros. Llano work songs have been gradually affected by economic, political and social processes that, modifying the llanero cultural universe, have significantly weakened the practice. For example, ambitious government plans conceived from a developmental perspective have led to profound changes in the use of the land and in ownership systems, and the modification of the social, cultural and natural sites of the songs have resulted in a loss of interest in the values and techniques of llano work. Llanero work songs thus face various threats to their viability. Efforts to safeguard the element are nonetheless widespread, including a pedagogical strategy involving more than twenty meetings for bearers and young people in the region, training projects for schoolteachers and a proliferation of festivals.",N/A,https://ich.unesco.org/doc/download.php?versionID=50754
Dikopelo folk music of Bakgatla ba Kgafela in Kgatleng District,Botswana,"The Dikopelo music practice involves vocal singing and dancing in a patterned choreography without musical instruments in which people from a particular area join together to sing as a choir. The element is practised by men, women and children but is mostly dominated by Elders who, forming an informal Council of Advisors, transmit their skills to the younger generation. Dikopelo is a communal practice involving a shared vision of community life. The element is no longer as widespread as it was in the past. Though Dikopelo originated as a communal event practised on farmlands, due to the decline in people engaged in farming the choirs have moved to villages where modernization makes practising it more difficult. Modern entertainment practices have also reduced the number of knowledgeable practitioners capable of explaining the significance of the element. However, though the viability of Dikopelo is low, the community and practitioners are committed to safeguarding it, as illustrated by their willingness to compete with groups from other districts and efforts to revive Dikopelo as a strategy to protect young people from social ills and promote positive messages among the community.",N/A,https://ich.unesco.org/doc/download.php?versionID=50758
Mongolian traditional practices of worshipping the sacred sites,Mongolia,"Mongolian practices of worshipping sacred sites have developed in the cultural space that is home to the nomadic lifestyle, which is characterized by its close harmony with nature and the environment. According to ancient shamanism, these practices are based on the belief in the existence of invisible deities of the sky, earth, mountains and natural surroundings. Local elders teach young people how to participate in and behave during the ceremony. The worship ceremonies build a sense of community and solidarity and raise awareness about the interdependence of human beings and the environment. During the communist regime in Mongolia, the worship of sacred sites was one of several practices that was banned, severely threatening its viability. Though the government and communities have been actively reviving the tradition, several challenges remain. These include rapid globalization and urbanization and the flow of herdsmen from sacred site areas to cities, a drastic reduction in the number of practitioners and masters with the necessary knowledge, and the operations of a number of mining companies. Locals are nonetheless enthusiastic about reviving the tradition and transmitting related knowledge, and in recent years many temples have been restored and favourable conditions created to conduct worshipping practices in local areas.",N/A,https://ich.unesco.org/doc/download.php?versionID=50723
"Taskiwin, martial dance of the western High Atlas",Morocco,"Taskiwin is a martial dance specific to the western High Atlas mountain range in Central Morocco. The dance gets its name from the richly decorated horn each dancer carries – the Tiskt – and involves the art of shaking one’s shoulders to the rhythm of tambourines and flutes. The practice fosters social cohesion and harmony and provides a key means of socialization for young people. Transmission to young generations mainly occurs informally through direct learning. Due to several factors, however, the dance is now limited to a small number of villages and is at risk of disappearing. Globalization has driven it closer to oblivion, as reflected by young people’s increasing disdain for traditional heritage in favour of modern artistic practices. The dance is no longer practised by several communities and the remaining enthusiasts and bearers cannot find aspirants to whom they can transmit their know-how. Craftsmanship relating to the instruments and accessories is also in decline. Nonetheless, the last two decades have seen an increased collective awareness of the need to ensure the viability of Taskiwin among some communities. To this end, the first dedicated association in the region was created in 1993, an initiative followed by several other villages, and several local associations are now being created.",N/A,https://ich.unesco.org/doc/download.php?versionID=50734
Whistled language,Turkey,"Whistled language is a method of communication that uses whistling to simulate and articulate words. The practice developed as a result of the steep mountains and rugged topography of the region, which required the local population to find an alternative way to communicate across long distances. The practitioners are mainly agricultural communities who spend most of their lives outdoors. The communities concerned consider this practice to be a key reflection of their cultural identity, which reinforces interpersonal communication and solidarity. Although the community is aware of the importance of this practice, technological developments and socioeconomic changes have led to a decline in the number of practitioners and areas where it is spoken. One of the key threats to the practice is the use of mobile phones. The new generation’s interest in whistled language has diminished considerably and there is a risk that the element will be gradually torn from its natural environment, becoming an artificial practice. In spite of such threats, the communities have been actively promoting this linguistic practice both nationally and internationally to ensure its sustainability, and whistled language is still transmitted from generation to generation in the context of parent-child relations through both formal and informal methods.",N/A,https://ich.unesco.org/doc/download.php?versionID=50721
"Al-Qatt Al-Asiri, female traditional interior wall decoration in Asir, Saudi Arabia",Saudi Arabia,"Al-Qatt Al-Asiri, a traditionally female interior wall decoration, is an ancient art form considered as a key element of the identity of the region of Asir. It is a spontaneous art technique carried out largely by women today in the community that involves decorating the interior walls of their houses, specifically rooms for visiting guests. Women invite female relatives of various age groups to help them in their homes, thereby transmitting this knowledge from generation to generation. The base is usually white gypsum and the patterns consist of icons of geometric shapes and symbols. In the past, only women practised the element, but nowadays male and female artists, designers, interior designers and architects practise it, including on other surfaces. The art enhances social bonding and solidarity among the community and has a therapeutic effect on its practitioners. The application of the art in most households ensures its viability within the community, and local individuals have created galleries within their houses in order to safeguard it. Observation and practice are the key methods for transmitting the practice from one generation to the next, and societies, NGOs and individuals all play a key role in safeguarding, promoting and transmitting the related knowledge and skills.",N/A,https://ich.unesco.org/doc/download.php?versionID=50739
"Art of crafting and playing with Kamantcheh/Kamancha, a bowed string musical instrument",Azerbaijan and Iran (Islamic Republic of),"The art of crafting and playing with Kamantcheh/Kamancha (‘little bow’), a bowed string instrument, has existed for over 1,000 years. In the Islamic Republic of Iran and Azerbaijan, it constitutes a major element of classical and folkloric music, and performances occupy a central place in a wide number of social and cultural gatherings. Contemporary practitioners mainly use a four-stringed Kamantcheh/Kamancha comprising a body and bow made with horsehair and players perform either individually or as part of orchestras. Bearers and practitioners consist of craftspeople, amateur or professional players, and teachers and students of the element. Kamantcheh/Kamancha is an essential part of musical culture in both countries, and while crafting the instrument represents a direct source of earning a living, craftspeople also perceive the art as a strong part of the intangible cultural heritage of their communities. Through their music, performers convey many themes, from the mythological to the gnostic and the comic. Today, knowledge of performing and crafting Kamantcheh/Kamancha is transmitted both within families and in State-sponsored musical institutions and schools. Knowledge about the importance of the music in promoting cultural identity is transmitted from generation to generation in all strata of society in both countries.",N/A,https://ich.unesco.org/doc/download.php?versionID=50755
Art of Neapolitan ‘Pizzaiuolo’,Italy,"The art of the Neapolitan ‘Pizzaiuolo’ is a culinary practice comprising four different phases relating to the preparation of the dough and its baking in a wood-fired oven, involving a rotatory movement by the baker. The element originates in Naples, the capital of the Campania Region, where about 3,000 Pizzaiuoli now live and perform. Pizzaiuoli are a living link for the communities concerned. There are three primary categories of bearers – the Master Pizzaiuolo, the Pizzaiuolo and the baker – as well as the families in Naples who reproduce the art in their own homes. The element fosters social gatherings and intergenerational exchange, and assumes a character of the spectacular, with the Pizzaiuolo at the centre of their ‘bottega’ sharing their art. Every year, the Association of Neapolitan Pizzaiuoli organizes courses focused on the history, instruments and techniques of the art in order to continue to ensure its viability. Technical know-how is also guaranteed in Naples by specific academies, and apprentices can learn the art in their family homes. However, knowledge and skills are primarily transmitted in the ‘bottega’, where young apprentices observe masters at work, learning all the key phases and elements of the craft.",N/A,https://ich.unesco.org/doc/download.php?versionID=50722
"Artisanal processes and plant fibers techniques for talcos, crinejas and pintas weaving of the pinta’o hat",Panama,"The artisanal process of obtaining the plant fibres for weaving talcos, crinejas and pintas used to make pintao hats is a manual process carried out using five plants and swamp mud. Artisans weave braids and create talco weaves with different designs and pintas. Participants either plant, process the raw materials, weave or create the braids used to make the hat. The pintao hat has become an integral part of regional outfits throughout the country worn during traditional dances and community festivities. The practice promotes solidarity as artisans and plant suppliers are encouraged to form cooperatives and groups. As part of efforts to safeguard the craft, the Pintao Hat Museum in the La Pintada District recreates the artisan’s processes and environment and displays hats from different periods. There is a Civic and Memorial Day of the Pintao Hat on 19 October, and the General Directorate of Artisanship holds artisanal markets and fairs to promote artisanal products. The processes and techniques are passed down from generation to generation, and weaving contests encourage artisans to perfect their art. Currently, more than 400 artisans working with the traditional techniques have been identified; artisans make a living from their craft and are proud of their creations.",N/A,https://ich.unesco.org/doc/download.php?versionID=50747
Basel Carnival,Switzerland,"Beginning on the Monday following Ash Wednesday and lasting exactly 72 hours, Basel Carnival is the largest carnival in Switzerland. Two parades take place on the Monday and Wednesday, bringing together 11,000 costumed carnivalists in parades of fife and drum cliques, floats and carriages. Tuesday is dedicated to children, with concerts and lantern exhibitions, while other events also punctuate the festival. The carnival can be compared to a huge satirical magazine where all visual or rhetorical means are used to make fun of flaws and blunders. Around 20,000 people of any age, social status, origin and political persuasion actively participate in the festival, which attracts around 200,000 Swiss and foreign visitors. The bearers and practitioners form associations of different types, composed equally of men and women. The carnival contributes to social cohesion, promotes tolerance through social criticism and helps safeguard the local dialect. Transmission occurs informally in families taking part for several generations. The ‘cliques’ also play an important role in this regard, with several having a section dedicated to encouraging the next generation. Several pre-carnival events are also organized, allowing for transmission beyond the carnival. The carnival has been successfully safeguarded over past decades thanks to measures taken by the communities as well as the authorities’ constant support.",N/A,https://ich.unesco.org/doc/download.php?versionID=50740
"Chogān, a horse-riding game accompanied by music and storytelling",Iran (Islamic Republic of),"Chogān is a traditional horse-riding game accompanied by music and storytelling; it has a history of over 2,000 years in Iran and has mostly been played in royal courts and urban fields. In Chogān, two rider teams compete and the aim is to pass the ball through the opposing team’s goal posts using a wooden stick. Chogān includes the main game, a corresponding musical performance and storytelling. Bearers include three primary groups: the players, the storytellers and the musicians. Chogān is a cultural, artistic and athletic element with a strong connection to the identity and history of its bearers and practitioners. It has a strong presence in the literature, storytelling, proverbs, handicrafts and ornaments that are valuable parts of the symbolism of its practitioners. As an element that promotes the health of the body and soul, Chogān also establishes a connection between nature, humankind and horses. Traditionally, transmission has occurred informally within the family or in workshops, and Chogān techniques continue to be actively safeguarded by families and local practitioners. However, over the last decades, Chogān associations have also been established, which hold training courses, support local masters and provide assistance in transmitting all aspects of Chogān while safeguarding local diversity.",N/A,https://ich.unesco.org/doc/download.php?versionID=50752
Craft of the miller operating windmills and watermills,Netherlands,"The craft of the miller operating windmills and watermills involves the knowledge and skills necessary to operate a mill and maintain it in a good state of repair. With a declining number of people earning their livelihood from the craft, millers today also play a key role in transmitting the cultural history of the practice. There are currently approximately forty professional millers; together with volunteers, they keep the miller’s craft alive. The Guild of Volunteer Millers has around 105 instructors in the field, and 11 Master Millers are now active in the Netherlands. Mills, and therefore the miller’s craft, play a significant social and cultural role in Dutch society and have an iconic value, contributing to a sense of identity and continuity. Various safeguarding activities are undertaken, including training, support and capacity building, educational activities in schools and traineeships. Traditionally, the miller’s craft was transmitted from master to apprentice but since the establishment of the Guild of Volunteer Millers in 1972, almost 2000 volunteers have obtained a miller’s qualification; anyone interested in the craft can apply for training. The Guild offers millers support in keeping their knowledge up-to-date, for example through excursions to mills, evening theory classes, conferences and meetings.",N/A,https://ich.unesco.org/doc/download.php?versionID=50743
Craftmanship of Estremoz clay figures,Portugal,"The Craftsmanship of Estremoz Clay Figures involves a production process lasting several days: the elements of the figures are assembled before being fired in an electric oven and then painted by the artisan and covered with a colourless varnish. The clay figures are dressed in the regional attires of Alentejo or the clothing of religious Christian iconography, and follow specific themes. The production of clay figures in Estremoz dates back to the seventeenth century, and the very characteristic aesthetic features of the figures make them immediately identifiable. The craft is strongly attached to the Alentejo region, since the vast majority of the figures depict natural elements, local trades and events, popular traditions and devotions. The viability and recognition of the craft are ensured through non-formal education workshops and pedagogical initiatives by the artisans, as well as by the Centre for the Appreciation and Safeguarding of the Estremoz Clay Figure. Fairs are organized at the local, national and international levels. Knowledge and skills are transmitted both in family workshops and professional contexts, and artisans teach the basics of their craft through non-formal training initiatives. Artisans are actively involved in awareness-raising activities organized in schools, museums, fairs and other events.",N/A,https://ich.unesco.org/doc/download.php?versionID=50751
Cultural practices associated to the 1st of March,"Bulgaria, North Macedonia, Republic of Moldova and Romania","Cultural Practices Associated to the 1st of March comprise traditions transmitted since ancient times to celebrate the beginning of spring. The main practice consists of making, offering and wearing a red and white thread, which is then untied when the first blossom tree, swallow or stork is seen. A few other local practices also form part of a larger spring celebration, such as purification actions in Moldova. The artefact is considered to provide symbolic protection against perils such as capricious weather, with the practice ensuring a safe passage from winter to spring for individuals, groups and communities. All members of the communities concerned participate, irrespective of their age, and the practice contributes to social cohesion, intergenerational exchange and interaction with nature, fostering diversity and creativity. Informal education is the most frequent means of transmission: in rural areas, young girls are taught how to make the thread by older women, while in urban areas apprentices learn from teachers, craftspeople and through informal education. Another occasion for transmission is provided by Martenitsa/Martinka/Mărţişor workshops organized by ethnographic museums. The communities concerned are actively involved in efforts to inventory, research, document and promote the element, and numerous cultural projects geared at its safeguarding are underway.",N/A,https://ich.unesco.org/doc/download.php?versionID=50756
"Dolma making and sharing tradition, a marker of cultural identity",Azerbaijan,"Dolma tradition is a set of knowledge and skills relating to the preparation of the traditional meal ‘dolma’, which takes the form of small fillings (containing meat, onion, rice, peas and spices) wrapped in fresh or pre-cooked leaves or stuffed in fruits and vegetables. The name of the tradition originates from the shortened Turkic word ‘doldurma’, meaning ‘stuffed’. The meal is shared within families or local communities, with different methods, techniques and ingredients used to prepare the traditional meal by different communities. The tradition is present throughout the Republic of Azerbaijan, and is perceived as a central culinary practice in all regions. It is enjoyed on special occasions and gatherings and expresses solidarity, respect and hospitality. It is transmitted from generation to generation and transcends ethnic and religious boundaries within the country. Bearers consist of traditional cooking practitioners, mostly women, and the wider community of people that use dolma for various cultural and social purposes. The tradition is transmitted through parent-child relationships, while formal transmission mainly occurs in vocational and apprenticeship schools. The element enjoys great visibility within Azerbaijani society, and its viability is ensured by the communities through numerous awareness-raising activities and events such as festivals, vocational schools that teach the tradition and the preparation of publications on the subject.",N/A,https://ich.unesco.org/doc/download.php?versionID=50729
Door-to-door rounds of Kurenti,Slovenia,"Door-to-door rounds of Kurenti is a Shrovetide custom practised from Candlemas (2 February) to Ash Wednesday. Kurenti practise their rounds through villages and nowadays also through the town of Ptuj. Groups consisting of Kurenti and one or more devils run from house to house, form a circle in the yard and jump around the owners. According to their beliefs, the noisy bell-ringing and brandishing of the wooden stick chase everything evil away and bring happiness to those they visit. Men, women and children are actively involved in all activities associated with the custom. Kurenti normally form groups, and some establish associations. One important bearer is the Federation of Kurenti Associations, which acts as the umbrella organization. The practice helps strengthen interpersonal bonds and is key to the regional identity of the communities concerned. Kindergartens and elementary schools assist in the safeguarding process, and some formal education courses and informal workshops help maintain respect for the practice. Related knowledge and skills are most commonly transmitted within the family, but youngsters also learn from elderly members of the groups they are part of and schools and museums play an important role by organizing activities, workshops and contests.  ",N/A,https://ich.unesco.org/doc/download.php?versionID=50749
Kazakh traditional Assyk games,Kazakhstan,"Kazakh traditional Assyk games are an ancient tradition in Kazakhstan. Each player has their own set of ‘Assyks’, traditionally made out of the talus bone of a sheep, and a ‘Saka’ dyed in bright colours. Players use their Assyk to knock out other Assyks from the field, and the focus is on the position of the bone. The community concerned comprises most of the population of Kazakhstan, including members of the Federation ‘Assyk Atu’ Game as well as the larger community of practitioners, mainly children aged between four and eighteen. The element is an outdoor activity that helps develop children’s analytical thinking and physical state, fostering friendship and social inclusiveness. It is also a good model for positive collaboration, uniting people regardless of their age, ethnic background or religious affiliation. It is widely practised at festive celebrations and gatherings, and the community plays a key role in safeguarding the practice, as well as in popularizing it among other ethnic groups in Kazakhstan, turning it into a national symbol of childhood. It is transmitted from older boys to younger ones through observation, as well as through radio and TV documentaries aimed at encouraging children to play Assyk and acquainting people with their cultural heritage.",N/A,https://ich.unesco.org/doc/download.php?versionID=50725
Khaen music of the Lao people,Lao People's Democratic Republic,"The khaen music of the Lao people is played with a mouth organ that resembles panpipes but made with bamboo tubes of varying lengths, each with a metal reed. The player blows into the instrument through an air chamber and the sound produced depends on the size of the tube. Khaen music is popular in all regions of the Lao People’s Democratic Republic due to its harmonic richness. It is usually part of village festivals and it is customary for people listening to it to become active participants in the songs and dances, rather than merely spectators. Khaen music is an integral part of Lao life that promotes family and social cohesion. Thanks to the use of bamboo, the practice is also linked to natural agriculture and healthy lifestyles. Families play an important role in transmitting the art and khaen player associations exist in many local communities where young people can learn the art. To maintain the practice in spite of lifestyle changes – including urbanization – several local communities, associations and groups have begun various initiatives to consolidate and promote it through formal and non-formal education. In 2005, the Association of Khaen Arts was established and various festivals are organized to promote and enhance the art.",N/A,https://ich.unesco.org/doc/download.php?versionID=50764
"Kochari, traditional group dance",Armenia,"Kochari is a traditional dance that is widely performed throughout Armenia during holidays, festive celebrations, family ceremonies and other social events. It is open to all participants, irrespective of age, gender or social status. Kochari provides a sense of shared identity and solidarity, contributes to the continuity of historical, cultural and ethnic memory, and fosters mutual respect among community members of all ages. It is transmitted through both non-formal and formal means, and is one of the rare traditional dances whose chain of transmission has never been interrupted. Formal means of transmission include the inclusion of a ‘folk song and dance’ course in the curricula of comprehensive schools in Armenia since 2004, educational programmes in youth arts centres, increased visibility of the element through the internet and other media outlets, and institutional initiatives. Folk dance groups have also been active in various communities since the 1960s, and non-governmental organizations regularly hold dance classes. Non-formal transmission occurs within families and through spontaneously formed dance groups. Communities, groups and individuals are actively involved in ensuring the viability of the element, notably through the ‘Our dances and we’ initiative, which has been carried out since 2008, with experienced practitioners playing a key role in safeguarding efforts.",N/A,https://ich.unesco.org/doc/download.php?versionID=50763
"Kok boru, traditional horse game",Kyrgyzstan,"Kok boru, a traditional horse game, is a synthesis of traditional practices, performances and the game itself. It is a traditional game played by two teams on horseback, where players try to manoeuvre with a goat’s carcass (replaced with a mould in modern-day games), or ‘ulak’, and score by putting it into the opponents’ goal. The community of bearers includes players united in higher league, semi-professional and amateur teams, as well as the general public. The most experienced players serve as referees, while another category consists of the ‘Kalystar’ (elders), who ensure the fairness of the game. The element is an expression of the cultural and historic tradition and spiritual identity of its practitioners and serves to unite communities regardless of social status, fostering a culture of teamwork, responsibility and respect. Knowledge related to the element is primarily transmitted naturally by means of demonstration, as well as during festive and social events, and the community concerned is actively involved in ensuring its viability through the transmission of knowledge and skills, research and the organization of training. The National Kok-Boru Federation, established in 1998, plays a key role in promoting and safeguarding the element through the development and organization of activities.",N/A,https://ich.unesco.org/doc/download.php?versionID=50762
"Kolo, traditional folk dance",Serbia,"Kolo is a traditional, collective folk dance performed by dancers who are interlinked to form a chain, usually moving in a circular line holding hands with their arms down. It is performed to the accompaniment of music at private and public gatherings and involves all members of the local community. Cultural-artistic societies and folk dance troupes are also important bearers and practitioners of the element. Kolo has an important integrative social function, fostering collective identities at different levels in the communities. It is a symbol of national identity and bears the hallmark of local and regional communal identities. Performances during celebrations of the most important events in individuals’ and communities’ lives make this element very present and sustainable at all levels. Bearers and local communities ensure its visibility by organizing local, regional and national fairs, festivals and competitions, and the sustainability of the practice is also ensured by cultural and artistic societies. Learning through direct participation is the most common way of transmitting the skills and skilled dancers motivate other players, awakening in them a desire to learn and improve their own performance. Knowledge is also acquired through the regular education system and in ballet and music schools.",N/A,https://ich.unesco.org/doc/download.php?versionID=50746
Konjic woodcarving,Bosnia and Herzegovina,"Konjic woodcarving is an artistic craft with a long tradition in the Konjic municipality. The woodcarvings – which include furniture, sophisticated interiors and small decorative objects – stand out for their recognizable hand-carved motifs and overall visual identity. The woodcarving is a constitutive part of the local community’s culture, a measure of the beauty and amenity of home interiors, and a tradition that forges a sense of community and belonging. The practice not only plays a very important role at the community level in Konjic, however, but also countrywide and in diaspora communities. It is an economically viable, socially inclusive and ecologically sustainable craft practised by different ethnic and confessional groups, which serves as an instrument of dialogue and cooperation. The craft is widespread among Konjic inhabitants, both as an occupation and as a hobby, and while the main bearers are trained craftspeople who work in woodcarving workshops, bearers who practise the craft at home are equally important. The owners of family-run woodcarving workshops are most responsible for safeguarding the element, training apprentice woodcarvers and popularizing the craft. Knowledge and skills are transmitted primarily through on-the-job training of novices in the practising workshops, as well as through intergenerational transmission within the family.",N/A,https://ich.unesco.org/doc/download.php?versionID=50757
