Name,Precaution,valid,pages,touristvisa,vax,centry,cexit,code,Region,Climate,pop,Languages,Other languages,urban,Links
Czech Republic,Level 1: Exercise Normal Precautions,"Six months recommended, Three months beyond departure date from the Schengen area.",2 pages required.,Not required for stays less than 90 days.,None.,"€10,000+ euros or equivalent must be declared.","€10,000+ euros or equivalent must be declared.",ez,Europe,"temperate; cool summers; cold, cloudy, humid winters",10686269,"Czech (official) 95.4%, Slovak 1.6%, other 3%",,1.292 million PRAGUE (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/EZ-flag.gif
Democratic Republic of the Congo (D.R.C.),Level 3: Reconsider Travel,6 months,1 page,"Yes, obtain in advance",Yellow fever,"5 million CDF ($5,400)",Illegal to export CDF,cg,Africa,"tropical; hot and humid in equatorial river basin; cooler and drier in southern highlands; cooler and wetter in eastern highlands; north of Equator - wet season (April to October), dry season (December to February); south of Equator - wet season (November to March), dry season (April to October)",85281024,"French  (official), Lingala  (a lingua franca trade language), Kingwana  (a dialect of Kiswahili or Swahili), Kikongo, Tshiluba",,"13.171 million KINSHASA (capital), 2.305 million Mbuji-Mayi, 2.281 million Lubumbashi, 1.335 million Kananga, 1.167 million Kisangani, 973,000 Bukavu",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/CG-flag.gif
Denmark,Level 2: Exercise Increased Caution,Six months is recommended,Two pages per stamp,Not required for stays under 90 days,None,"10,000 Euros (or equivalent)","10,000 Euros (or equivalent)",da,Europe,"temperate; humid and overcast; mild, windy winters and cool summers",5809502,"Danish, Faroese, Greenlandic  (an Inuit dialect), German  (small minority)",note: English is the predominant second language,1.321 million COPENHAGEN (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/DA-flag.gif
Djibouti,Level 1: Exercise Normal Precautions,6 months,2 pages,Yes,Yellow fever,None,None,dj,Africa,"desert; torrid, dry",884017,"French  (official), Arabic  (official), Somali, Afar",,"562,000 DJIBOUTI (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/DJ-flag.gif
Dominica,Level 1: Exercise Normal Precautions,Must be valid at time of entry,1 page required for entry stamp,Not required for stays under 6 months,None,None,None,do,Central America and the Caribbean,tropical; moderated by northeast trade winds; heavy rainfall,74027,"English  (official), French patois",,"15,000 ROSEAU (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/DO-flag.gif
Dominican Republic,Level 2: Exercise Increased Caution,Must be valid at time of entry,1 page required for entry stamp,Not required for visits shorter than 30 days,None required if arriving from the United States,None,"$10,000 and over or its equivalent must be declared",dr,Central America and the Caribbean,tropical maritime; little seasonal temperature variation; seasonal variation in rainfall,10298756,Spanish (official),,3.172 million SANTO DOMINGO (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/DR-flag.gif
Ecuador,Level 2: Exercise Increased Caution,6 months.,1 page per stamp.,"No, for stays less than 90 days in any 12-month period.",None.,None.,There is a 5 percent tax on currency taken out of Ecuador above $1098.00. See the Ecuadorian Revenue Service website.,ec,South America,"tropical along coast, becoming cooler inland at higher elevations; tropical in Amazonian jungle lowlands",16498502,"Spanish (Castilian) 93% (official), Quechua 4.1%, other indigenous 0.7%, foreign 2.2%
        (2010 est.)",note: (Quechua and Shuar are official languages of intercultural relations; other indigenous languages are in official use by indigenous peoples in the areas they inhabit),"2.899 million Guayaquil, 1.822 million QUITO (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/EC-flag.gif
Egypt,Level 2: Exercise Increased Caution,Must have six months validity,At least one blank page,Yes,None,"Less than $10,000","Less than $10,000",eg,Africa,"desert; hot, dry summers with moderate winters",99413317,"Arabic (official), Arabic, English, and French widely understood by educated classes",,"20.076 million CAIRO (capital), 5.086 million Alexandria",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/EG-flag.gif
El Salvador,Level 3: Reconsider Travel,Passport must be valid at time of entry.,At least one blank page.,"No, a visa is not required. But you must purchase a tourist card for 10 USD upon arrival. The card is valid for 90 days. If your U.S. passport shows you were born in El Salvador, you do not need the tourist card.","None, check recommendation in Health Section.","Currency in excess of 10,000 USD must be declared.","Currency in excess of 10,000 USD must be declared.",es,Central America and the Caribbean,tropical; rainy season (May to October); dry season (November to April); tropical on coast; temperate in uplands,6187271,"Spanish (official), Nawat  (among some Amerindians)",,1.107 million SAN SALVADOR (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/ES-flag.gif
Equatorial Guinea,Level 1: Exercise Normal Precautions,6 months,1 page,Not required for stays of less than 90 days,Proof of vaccination for yellow fever and polio required. A polio booster dose is required for those who have completed the normal series of the polio vaccine.,None,None,ek,Africa,"tropical; always hot, humid",797457,"Spanish (official) 67.6%, other (includes French (official), Fang, Bubi) 32.4%
        (1994 census)",,"297,000 MALABO (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/EK-flag.gif
Eritrea,Level 2: Exercise Increased Caution,6 months,2 pages,Yes,Yellow Fever,"Declare amounts over $10,000 USD","Declare amounts over $10,000 USD, Maximum allowed 1000 Nakfa",er,Africa,"hot, dry desert strip along Red Sea coast; cooler and wetter in the central highlands (up to 61 cm of rainfall annually, heaviest June to September); semiarid in western hills and lowlands",5970646,"Tigrinya (official), Arabic (official), English (official), Tigre, Kunama, Afar, other Cushitic languages",,"896,000 ASMARA (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/ER-flag.gif
Estonia,Level 1: Exercise Normal Precautions,Should be valid for at least six months beyond your stay,One page per entry stamp,None,None,None,None,en,Europe,"maritime; wet, moderate winters, cool summers",1244288,"Estonian (official) 68.5%, Russian 29.6%, Ukrainian 0.6%, other 1.2%, unspecified 0.1%
        (2011 est.)",,"437,000 TALLINN (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/EN-flag.gif
Eswatini,Level 1: Exercise Normal Precautions,Six months,2 pages per entry,"No, if staying 30 days or less","Yellow fever, if entering from a yellow fever country",None,None,wz,Africa,varies from tropical to near temperate,1087200,"English  (official, used for government business), siSwati  (official)",,"68,000 MBABANE (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/WZ-flag.gif
Ethiopia,Level 2: Exercise Increased Caution,6 months,1 page,Yes,Yellow fever,"1,000 ETB and $3,000","1,000 ETB (4,000 ETB if travelling to Djibouti) and $3,000",et,Africa,tropical monsoon with wide topographic-induced variation,108386391,"Oromo (official working language in the State of Oromiya) 33.8%, Amharic (official national language) 29.3%, Somali (official working language of the State of Sumale) 6.2%, Tigrigna (Tigrinya) (official working language of the State of Tigray) 5.9%, Sidamo 4%, Wolaytta 2.2%, Gurage 2%, Afar (official working language of the State of Afar) 1.7%, Hadiyya 1.7%, Gamo 1.5%, Gedeo 1.3%, Opuuo 1.2%, Kafa 1.1%, other 8.1%, English  (major foreign language taught in schools), Arabic
        (2007 est.)",,4.4 million ADDIS ABABA (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/ET-flag.gif
Fiji,Level 1: Exercise Normal Precautions,At least six months after your scheduled departure from Fiji,One page required for entry stamp,Not required for stays of fewer than four months,None,"Currency over F$10,000 or the U.S. dollar equivalent must be declared","Currency over F$10,000 or the U.S. dollar equivalent",fj,Oceania,tropical marine; only slight seasonal temperature variation,926276,"English  (official), Fijian  (official), Hindustani",,"178,000 SUVA (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/FJ-flag.gif
Finland,Level 1: Exercise Normal Precautions,Six months recommended,Two pages per stamp,None required,None,"10,000 Euros (or equivalent)","10,000 Euros (or equivalent)",fi,Europe,"cold temperate; potentially subarctic but comparatively mild because of moderating influence of the North Atlantic Current, Baltic Sea, and more than 60,000 lakes",5537364,"Finnish (official) 87.9%, Swedish (official) 5.2%, Russian 1.4%, other 5.5%
        (2017 est.)",,1.279 million HELSINKI (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/FI-flag.gif
France,Level 2: Exercise Increased Caution,Must be valid for at least three months beyond your planned date of departure from the Schengen area. The 12-page U.S. emergency passport is not valid for visa-free entry into France.,Must have at least one blank page for stamps,Not required for stays under 90 days,None,"10,000 Euros Max","10,000 Euros Max",fr,metropolitan France: Europe; French Guiana: South America; Guadeloupe: Central America and the Caribbean; Martinique: Central America and the Caribbean; Mayotte: Africa; Reunion: World,"metropolitan France: generally cool winters and mild summers, but mild winters and hot summers along the Mediterranean; occasional strong, cold, dry, north-to-northwesterly wind known as the mistral;
French Guiana: tropical; hot, humid; little seasonal te",67364357,"French (official) 100%, French (official)  declining regional dialects and languages (Provencal, Breton, Alsatian, Corsican, Catalan, Basque, Flemish, Occitan, Picard)","note: overseas departments: French, Creole patois, Mahorian (a Swahili dialect)","10.901 million PARIS (capital), 1.69 million Lyon, 1.599 million Marseille-Aix-en-Provence, 1.054 million Lille, 997,000 Toulouse, 945,000 Bordeaux",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/FR-flag.gif
French Guiana,Level 1: Exercise Normal Precautions,Three months,One page per stamp,,Yellow fever,,,,,,,,,,
French Polynesia,Level 1: Exercise Normal Precautions,Six months,One page per stamp,Not required for U.S. citizens for stays under 90 days,None,1 200 000F CFP (10 000€),1 200 000F CFP (10 000€),fp,Oceania,"tropical, but moderate",290373,"French (official) 70%, Polynesian (official) 28.2%, other 1.8%
        (2012 est.)",,"136,000 PAPEETE (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/FP-flag.gif
French West Indies,Level 1: Exercise Normal Precautions,Must have six months validity at entry,1 page required for entry stamp,Not required for stays under 90 days,None,"€10,000 maximum or USD equivalent","€10,000 maximum or USD equivalent",,,,,,,,
Gabon,Level 1: Exercise Normal Precautions,6 months,1 page per stamp,Yes,Yellow Fever,None,None,gb,Africa,"tropical; always hot, humid",2119036,"French  (official), Fang, Myene, Nzebi, Bapounou/Eschira, Bandjabi",,"813,000 LIBREVILLE (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/GB-flag.gif
Georgia,Level 1: Exercise Normal Precautions,N/A,N/A,N/A,N/A,N/A,N/A,gg,Asia,warm and pleasant; Mediterranean-like on Black Sea coast,4926087,"Georgian (official) 87.6%, Azeri 6.2%, Armenian 3.9%, Russian 1.2%, other 1%
        (2014 est.)",note: Abkhaz is the official language in Abkhazia,1.077 million TBILISI (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/GG-flag.gif
Germany,Level 2: Exercise Increased Caution,Six months beyond planned date of departure from the Schengen area,Two pages,Not required for stays under 90 days.,None,"€10,000 euros or equivalent","€10,000 euros or equivalent",gm,Europe,"temperate and marine; cool, cloudy, wet winters and summers; occasional warm mountain (foehn) wind",80457737,German (official),"note: Danish, Frisian, Sorbian, and Romani are official minority languages; Low German, Danish, North Frisian, Sater Frisian, Lower Sorbian, Upper Sorbian, and Romani are recognized as regional languages under the European Charter for Regional or Minority Languages","3.563 million BERLIN (capital), 1.793 million Hamburg, 1.504 million Munich, 1.096 million Cologne",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/GM-flag.gif
Ghana,Level 1: Exercise Normal Precautions,6 months validity,One page for stamp,Yes,Yellow fever,"Maximum of $5,000 USD","Maximum of $5,000 USD",gh,Africa,tropical; warm and comparatively dry along southeast coast; hot and humid in southwest; hot and dry in north,28102471,"Asante 16%, Ewe 14%, Fante 11.6%, Boron (Brong) 4.9%, Dagomba 4.4%, Dangme 4.2%, Dagarte (Dagaba) 3.9%, Kokomba 3.5%, Akyem 3.2%, Ga 3.1%, other 31.2%
        (2010 est.)",note: English is the official language,"3.065 million Kumasi, 2.439 million ACCRA (capital), 855,000 Sekondi Takoradi",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/GH-flag.gif
Greece,Level 1: Exercise Normal Precautions,Six months of remaining validity recommended,One page per stamp,Not required for stays less than 90 days; visa required for all official and diplomatic passport holders,None,"10,000 euros or the equivalent","10,000 euros or the equivalent",gr,Europe,"temperate; mild, wet winters; hot, dry summers",10761523,"Greek (official) 99%, other (includes English and French) 1%",,"3.156 million ATHENS (capital), 811,000 Thessaloniki",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/GR-flag.gif
Grenada,Level 1: Exercise Normal Precautions,6 months beyond the date of entry.,1 page required for entry stamp,"No, but see entry-exit requirements below","None, unless arriving from regions with endemic Yellow Fever",None,None,gj,Central America and the Caribbean,tropical; tempered by northeast trade winds,112207,"English  (official), French patois",,"39,000 SAINT GEORGE'S (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/GJ-flag.gif
Guatemala,Level 2: Exercise Increased Caution,6 months beyond date of entry,One page per stamp,Not required for stays of 90 days or less,None,"$10,000 ","$10,000 ",gt,Central America and the Caribbean,"tropical; hot, humid in lowlands; cooler in highlands",16581273,"Spanish (official) 68.9%, Maya languages 30.9% (K'iche 8.7%, Q'eqchi 7%, Mam 4.6%, Kaqchikel 4.3%, other 6.3%), other 0.3% (includes Xinca and Garifuna)
        (2001 est.)","note: the 2003 Law of National Languages officially recognized 23 indigenous languages, including 21 Maya languages, Xinka, and Garifuna",2.851 million GUATEMALA CITY (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/GT-flag.gif
Guinea,Level 2: Exercise Increased Caution,6 months validity,One page for entry stamp,Yes,Yellow fever,None,"No more than 100,000 FG or $5,000 USD",gv,Africa,generally hot and humid; monsoonal-type rainy season (June to November) with southwesterly winds; dry season (December to May) with northeasterly harmattan winds,11855411,"French (official), Pular, Maninka, Susu, other native languages",note: each ethnic group has its own language,1.843 million CONAKRY (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/GV-flag.gif
Guinea-Bissau,Level 3: Reconsider Travel,Valid at time of Entry,1 page per stamp,Yes,Yellow Fever,None,None,pu,Africa,tropical; generally hot and humid; monsoonal-type rainy season (June to November) with southwesterly winds; dry season (December to May) with northeasterly harmattan winds,1833247,"Crioulo  (lingua franca), Portuguese  (official; largely used as a second or third language), Pular  (a Fula language), Mandingo",,"558,000 BISSAU (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/PU-flag.gif
Guyana,Level 2: Exercise Increased Caution,Six Months,One page for entry stamp,No,Suggested,None,None,gy,South America,"tropical; hot, humid, moderated by northeast trade winds; two rainy seasons (May to August, November to January)",740685,"English (official), Guyanese Creole, Amerindian languages (including Caribbean and Arawak languages), Indian languages (including Caribbean Hindustani, a dialect of Hindi), Chinese
        (2014 est.)",,"110,000 GEORGETOWN (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/GY-flag.gif
Haiti,Level 4: Do Not Travel,6months,1 page per stamp,"Yes, for stays over 90 days",None,None,None,ha,Central America and the Caribbean,tropical; semiarid where mountains in east cut off trade winds,10788440,"French (official), Creole (official)",,2.637 million PORT-AU-PRINCE (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/HA-flag.gif
Honduras,Level 3: Reconsider Travel,Passport must have six months validity.,One page required for entry stamp.,No for stays of up to 90 days.,Required: Honduras currently requires travelers arriving from Panama and every nation in South America to present proof of yellow fever vaccine.,"Travelers must declare any amount over $10,000.","Travelers must declare any amount over $10,000.",ho,Central America and the Caribbean,"subtropical in lowlands, temperate in mountains",9182766,"Spanish (official), Amerindian dialects",,"1.363 million TEGUCIGALPA (capital), 851,000 San Pedro Sula",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/HO-flag.gif
Hong Kong,Level 1: Exercise Normal Precautions,One month beyond the date of your intended stay,One page required for entry stamp,Not required for stays under 90 days,None,None,None,hk,Southeast Asia,"subtropical monsoon; cool and humid in winter, hot and rainy from spring through summer, warm and sunny in fall",7213338,"Cantonese (official) 88.9%, English (official) 4.3%, Mandarin (official) 1.9%, other Chinese dialects 3.1%, other 1.9%
        (2016 est.)",,7.429 million Hong Kong,https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/HK-flag.gif
Hungary,Level 1: Exercise Normal Precautions,Six months validity recommended; three months validity beyond planned departure date from the Schengen area required.,1 page per stamp,Not required for stays under 90 days,None,"Amounts over 10,000 Euros or equivalent to declare at customs","Amounts over 10,000 Euros or equivalent to declare at customs",hu,Europe,"temperate; cold, cloudy, humid winters; warm summers",9825704,"Hungarian (official) 99.6%, English 16%, German 11.2%, Russian 1.6%, Romanian 1.3%, French 1.2%, other 4.2%
        (2011 est.)",note: shares sum to more than 100% because some respondents gave more than one answer on the census; Hungarian is the mother tongue of 98.9% of Hungarian speakers,1.759 million BUDAPEST (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/HU-flag.gif
Iceland,Level 1: Exercise Normal Precautions,,,,,,,ic,Arctic Region,"temperate; moderated by North Atlantic Current; mild, windy winters; damp, cool summers",343518,"Icelandic, English, Nordic languages, German",,"216,000 REYKJAVIK (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/IC-flag.gif
India,Level 2: Exercise Increased Caution,Must be valid for six months beyond date of visa application to obtain a visa,Two pages required,Yes,Required for yellow fever if the traveler is arriving from an infected area; others are suggested,The possession of satellite phones is prohibited in India,Check local law for reporting requirements for exiting with large quantities of foreign currency and Indian rupees,in,Asia,varies from tropical monsoon in south to temperate in north,1296834042,"Hindi 43.6%, Bengali 8%, Marathi 6.9%, Telugu 6.7%, Tamil 5.7%, Gujarati 4.6%, Urdu 4.2%, Kannada 3.6%, Odia 3.1%, Malayalam 2.9%, Punjabi 2.7%, Assamese 1.3%, Maithili 1.1%, other 5.6%
        (2011 est.)","note: English enjoys the status of subsidiary official language but is the most important language for national, political, and commercial communication; there are 22 other officially recognized languages: Assamese, Bengali, Bodo, Dogri, Gujarati, Hindi, Kannada, Kashmiri, Konkani, Maithili, Malayalam, Manipuri, Nepali, Odia, Punjabi, Sanskrit, Santali, Sindhi, Tamil, Telugu, Urdu; Hindustani is a popular variant of Hindi/Urdu spoken widely throughout northern India but is not an official language","28.514 million NEW DELHI (capital), 19.98 million Mumbai, 14.681 million Kolkata, 11.44 million Bangalore, 10.456 million Chennai, 9.482 million Hyderabad",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/IN-flag.gif
Indonesia,Level 2: Exercise Increased Caution,6 months beyond date of arrival,Two,No (for tourist travel under 30 days),Suggested,"100,000,000 Indonesian rupiah (approx. $7,500 USD)","100,000,000 Indonesian rupiah (approx. $7,500 USD)",id,Southeast Asia,"tropical; hot, humid; more moderate in highlands",262787403,"Bahasa Indonesia  (official, modified form of Malay), English, Dutch, local dialects  (of which the most widely spoken is Javanese)",note: more than 700 languages are used in Indonesia,"10.517 million JAKARTA (capital), 3.159 million Bekasi, 2.903 million Surabaya, 2.538 million Bandung, 2.285 million Medan, 2.222 million Tangerang",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/ID-flag.gif
Iran,Level 4: Do Not Travel,6 months,One page required for entry stamp,"Yes, except for Kish Island",None,"Over $10,000 must be declared","Over $10,000 must be declared",ir,Middle East,"mostly arid or semiarid, subtropical along Caspian coast",83024745,"Persian (official), Azeri Turkic and Turkic dialects, Kurdish, Gilaki and Mazandarani, Luri, Balochi, Arabic",,"8.896 million TEHRAN (capital), 3.097 million Mashhad, 2.041 million Esfahan, 1.605 million Shiraz, 1.585 million Karaj, 1.582 million Tabriz",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/IR-flag.gif
Iraq,Level 4: Do Not Travel,Minimum of six months remaining on entry,One page required for entry stamp,Yes,None required. Vaccinations recommended by the U.S. Centers for Disease Control and Prevention,None,"No more than $10,000 USD",iz,Middle East,"mostly desert; mild to cool winters with dry, hot, cloudless summers; northern mountainous regions along Iranian and Turkish borders experience cold winters with occasionally heavy snows that melt in early spring, sometimes causing extensive flooding in c",40194216,"Arabic (official), Kurdish (official), Turkmen (a Turkish dialect), Syriac (Neo-Aramaic), and Armenian are official in areas where native speakers of these languages constitute a majority of the population",,"6.643 million BAGHDAD (capital), 1.527 million Mosul, 1.299 million Basra, 981,000 Kirkuk, 821,000 Erbil, 820,000 Najaf",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/IZ-flag.gif
Ireland,Level 1: Exercise Normal Precautions,Must be valid for the duration of your stay in Ireland,Must have at least one page,No,None,"10,000 Euros or equivalent","10,000 Euros or equivalent",ei,Europe,"temperate maritime; modified by North Atlantic Current; mild winters, cool summers; consistently humid; overcast about half the time",5068050,"English  (official, the language generally used), Irish  (Gaelic or Gaeilge) (official, spoken by approximately 39.8% of the population as of 2016; mainly spoken in areas along Ireland's western coast known as gaeltachtai, which are officially recognized regions where Irish is the predominant language)",,1.201 million DUBLIN (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/EI-flag.gif
"Israel, the West Bank and Gaza",Level 2: Exercise Increased Caution,"No minimum requirement, but your authorized stay will not exceed the validity remaining of your passport and airlines may decline boarding if a traveler has less than six months validity on his or her passport",1 page (although passports are normally not stamped upon entry),"Not required for stays of 90 days or less. Please see below for detailed information about entry, exit and visa requirements",None,"You must declare if you are carrying 50,000 shekels or more when entering or exiting Israel by air and 12,000 shekels if entering or exiting by land","You must declare if you are carrying 50,000 shekels or more when entering or exiting Israel by air and 12,000 shekels if entering or exiting by land",is,Middle East,temperate; hot and dry in southern and eastern desert areas,8424904,"Hebrew  (official), Arabic  (used officially for Arab minority), English  (most commonly used foreign language)",,"4.011 million Tel Aviv-Yafo, 1.135 million Haifa, 907,000 JERUSALEM (proclaimed capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/IS-flag.gif
Italy,Level 2: Exercise Increased Caution,Must have at least six months validity remaining beyond your planned date of departure from the Schengen area.,Two pages required for entry stamp,Not required for stays under 90 days,None,"10,000 Euros or equivalent","10,000 Euros or equivalent",it,Europe,"predominantly Mediterranean; alpine in far north; hot, dry in south",62246674,"Italian  (official), German  (parts of Trentino-Alto Adige region are predominantly German speaking), French  (small French-speaking minority in Valle d'Aosta region), Slovene  (Slovene-speaking minority in the Trieste-Gorizia area)",,"4.21 million ROME (capital), 3.132 million Milan, 2.198 million Naples, 1.786 million Turin, 874,000 Bergamo, 854,000 Palermo",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/IT-flag.gif
Jamaica,Level 2: Exercise Increased Caution,Must be valid at the time of entry and exit,One page required,Only for a stay over 90 days,Yellow fever vaccine required if traveling from a country with yellow fever risk,"US $10,000",None,jm,Central America and the Caribbean,"tropical; hot, humid; temperate interior",2812090,"English, English patois",,"589,000 KINGSTON (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/JM-flag.gif
Japan,Level 1: Exercise Normal Precautions,Duration of intended period of stay,One page required for entry stamp,Not required for stays of less than 90 days,None,"Amounts equivalent to ¥1,000,000 or above subject to declaration","Amounts equivalent to ¥1,000,000 or above subject to declaration",ja,Asia,varies from tropical in south to cool temperate in north,126168156,Japanese,,"37.468 million TOKYO (capital), 19.281 million Osaka, 9.507 million Nagoya, 5.551 million Kitakyushu-Fukuoka, 2.899 million Shizuoka-Hamamatsu, 2.665 million Sapporo",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/JA-flag.gif
Jordan,Level 2: Exercise Increased Caution,Six months,One page required for entry stamp,Yes. Jordan issues single-entry visas to U.S. citizens upon arrival at Queen Alia International Airport and most international land border crossings,None,"Declaration required if greater than JOD10,000 or the equivalent in other currencies",None,jo,Middle East,mostly arid desert; rainy season in west (November to April),10458413,"Arabic  (official), English  (widely understood among upper and middle classes)",,2.065 million AMMAN (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/JO-flag.gif
Kazakhstan,Level 1: Exercise Normal Precautions,Must be valid for three months at time of entry,None,Those staying longer than 30 days or engaging in employment or missionary activities require a visa.,None,,,kz,Asia,"continental, cold winters and hot summers, arid and semiarid",18744548,"Kazakh (official, Qazaq) 74% (understand spoken language), Russian (official, used in everyday business, designated the ""language of interethnic communication"") 94.4% (understand spoken language)
        (2009 est.)",,"1.829 million Almaty, 1.068 million ASTANA (capital), 982,000 Shimkent",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/KZ-flag.gif
Kenya,Level 2: Exercise Increased Caution,6months,2pages,Yes,Yellow Fever,None,"100,000 Kenyan Shillings",ke,Africa,varies from tropical along coast to arid in interior,48397527,"English  (official), Kiswahili  (official), Kiswahili  numerous indigenous languages",,"4.386 million NAIROBI (capital), 1.214 million Mombassa",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/KE-flag.gif
Kiribati,Level 1: Exercise Normal Precautions,Six months,One page required for stamp,Not required for stays up to 30 days,None,5000 AUD (Australian Dollars),None,kr,Oceania,"tropical; marine, hot and humid, moderated by trade winds",109367,"I-Kiribati, English  (official)",,"64,000 TARAWA (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/KR-flag.gif
Kosovo,Level 2: Exercise Increased Caution,Must be valid at time of entry,One page required for entry stamp,Not required for visits less than 90 days in a six-month period,None,"10,000 euros or more in cash must be declared","10,000 euros or more in cash must be declared",kv,Europe,"influenced by continental air masses resulting in relatively cold winters with heavy snowfall and hot, dry summers and autumns; Mediterranean and alpine influences create regional variation; maximum rainfall between October and December",1907592,"Albanian (official) 94.5%, Bosnian 1.7%, Serbian (official) 1.6%, Turkish 1.1%, other 0.9% (includes Romani), unspecified 0.1%
        (2011 est.)","note: in municipalities where a community's mother tongue is not one of Kosovo's official languages, the language of that community may be given official status according to the 2006 Law on the Use of Languages","207,062 PRISTINA (capital)
        (2014)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/KV-flag.gif
Kuwait,Level 1: Exercise Normal Precautions,"Six months from date of arrival; emergency passports accepted with conditions as of May 1, 2018 (see further instructions below).",1 page per entry stamp,"Yes; can be obtained on arrival at Kuwait International Airport or online. Visa validity is usually 90 days, subject to Kuwait’s discretion",None for temporary visitors.  Please refer to Kuwait’s Ministry of Health website for a schedule of vaccinations required for residents of Kuwait,None,None,ku,Middle East,"dry desert; intensely hot summers; short, cool winters",2916467,"Arabic  (official), English  widely spoken",,2.989 million KUWAIT (capital),https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/KU-flag.gif
Kyrgyzstan,Level 1: Exercise Normal Precautions,Six Months from date of entry,One full page,"Yes, for stays longer than 60 days",None required,"Up to the equivalent of 3,000 USD.","Up to the equivalent of 3,000 USD.",kg,Asia,dry continental to polar in high Tien Shan Mountains; subtropical in southwest (Fergana Valley); temperate in northern foothill zone,5849296,"Kyrgyz (official) 71.4%, Uzbek 14.4%, Russian (official) 9%, other 5.2%
        (2009 est.)",,"996,000 BISHKEK (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/KG-flag.gif
Lao People's Democratic Republic,Level 1: Exercise Normal Precautions,6 months from date of entry,2 (endorsement pages are not considered blank),Yes,None,"The import of local currency is not permitted. 2,500 USD or equivalent in foreign currency must be declared.","The export of local currency is no permitted. 2,500 USD or equivalent in foreign currency must be declared.",la,Southeast Asia,tropical monsoon; rainy season (May to November); dry season (December to April),7234171,"Lao  (official), French, English, various ethnic languages",,"665,000 VIENTIANE (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/LA-flag.gif
Latvia,Level 1: Exercise Normal Precautions,6 months recommended.,One page per entry stamp.,Not required for stays less than 90 days within a six month period.,None,"10,000 Euros or equivalent","10,000 Euros or equivalent",lg,Europe,"maritime; wet, moderate winters",1923559,"Latvian (official) 56.3%, Russian 33.8%, other 0.6% (includes Polish, Ukrainian, and Belarusian), unspecified 9.4%
        (2011 est.)",note: data represent language usually spoken at home,"637,000 RIGA (capital)",https://www.cia.gov/library/publications/the-world-factbook/attachments/flags/LG-flag.gif
