Site name,Country Name,Description,Coordinates,Region,Inscription date,Criteria
Old City of Dubrovnik,Croatia,"The 'Pearl of the Adriatic', situated on the Dalmatian coast, became an important Mediterranean sea power from the 13th century onwards. Although severely damaged by an earthquake in 1667, Dubrovnik managed to preserve its beautiful Gothic, Renaissance and Baroque churches, monasteries, palaces and fountains. Damaged again in the 1990s by armed conflict, it is now the focus of a major restoration programme co-ordinated by UNESCO.",N42 39 2.016 E18 5 29.004,"County of Dubrovnik-Neretva, Adriatic Coast",1979,(i)(iii)(iv)
Plitvice Lakes National Park,Croatia,"The waters flowing over the limestone and chalk have, over thousands of years, deposited travertine barriers, creating natural dams which in turn have created a series of beautiful lakes, caves and waterfalls. These geological processes continue today. The forests in the park are home to bears, wolves and many rare bird species.",N44 52 40.008 E15 36 51.984,N/A,1979,(vii)(viii)(ix)
Episcopal Complex of the Euphrasian Basilica in the Historic Centre of Poreč,Croatia,"The group of religious monuments in Porec, where Christianity was established as early as the 4th century, constitutes the most complete surviving complex of its type. The basilica, atrium, baptistery and episcopal palace are outstanding examples of religious architecture, while the basilica itself combines classical and Byzantine elements in an exceptional manner.",N45 13 45.012 E13 35 39.984,County of Istria,1997,(ii)(iii)(iv)
Historic City of Trogir,Croatia,Trogir is a remarkable example of urban continuity. The orthogonal street plan of this island settlement dates back to the Hellenistic period and it was embellished by successive rulers with many fine public and domestic buildings and fortifications. Its beautiful Romanesque churches are complemented by the outstanding Renaissance and Baroque buildings from the Venetian period.,N43 30 45 E16 15 6.012,County of Split-Dalmatia,1997,(ii)(iv)
The Cathedral of St James in Šibenik,Croatia,"The Cathedral of St James in Šibenik (1431-1535), on the Dalmatian coast, bears witness to the considerable exchanges in the field of monumental arts between Northern Italy, Dalmatia and Tuscany in the 15th and 16th centuries. The three architects who succeeded one another in the construction of the Cathedral - Francesco di Giacomo, Georgius Mathei Dalmaticus and Niccolò di Giovanni Fiorentino - developed a structure built entirely from stone and using unique construction techniques for the vaulting and the dome of the Cathedral. The form and the decorative elements of the Cathedral, such as a remarkable frieze decorated with 71 sculptured faces of men, women, and children, also illustrate the successful fusion of Gothic and Renaissance art.",N43 44 10.644 E15 53 25.368,County of Šibenik-Knin,2000,(i)(ii)(iv)
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,"Albania, Austria, Belgium, Bulgaria, Croatia, Germany, Italy, Romania, Slovakia, Slovenia, Spain, Ukraine","This transboundary property stretches over 12 countries. Since the end of the last Ice Age, European Beech spread from a few isolated refuge areas in the Alps, Carpathians, Dinarides, Mediterranean and Pyrenees over a short period of a few thousand years in a process that is still ongoing. The successful expansion across a whole continent is related to the tree’s adaptability and tolerance of different climatic, geographical and physical conditions. ",N49 0 35 E22 20 20,N/A,2007,(ix)
Stari Grad Plain,Croatia,"Stari Grad Plain on the Adriatic island of Hvar is a cultural landscape that has remained practically intact since it was first colonized by Ionian Greeks from Paros in the 4th century BC. The original agricultural activity of this fertile plain, mainly centring on grapes and olives, has been maintained since Greek times to the present. The site is also a natural reserve. The landscape features ancient stone walls and trims, or small stone shelters, and bears testimony to the ancient geometrical system of land division used by the ancient Greeks, the chora which has remained virtually intact over 24 centuries.",N43 10 54 E16 38 19,Split and Dalmatia Counties,2008,(ii)(iii)(v)
Stećci Medieval Tombstone Graveyards,"Bosnia and Herzegovina, Croatia, Montenegro, Serbia","This serial property combines 28 sites, located in Bosnia and Herzegovina, western Serbia, western Montenegro and central and southern Croatia, representing these cemeteries and regionally distinctive medieval tombstones, or stećci. The cemeteries, which date from the 12th to 16th centuries CE, are laid out in rows, as was the common custom in Europe from the Middle Ages. The stećci are mostly carved from limestone. They feature a wide range of decorative motifs and inscriptions that represent iconographic continuities within medieval Europe as well as locally distinctive traditions.",N43 5 31.97 E17 55 26.59,N/A,2016,(iii)(vi)
Venetian Works of Defence between the 16th and 17th Centuries: Stato da Terra – Western Stato da Mar,"Croatia, Italy, Montenegro","This property consists of 6 components of defence works in Italy, Croatia and Montenegro, spanning more than 1,000 km between the Lombard region of Italy and the eastern Adriatic Coast. The fortifications throughout the Stato da Terra protected the Republic of Venice from other European powers to the northwest and those of the Stato da Mar protected the sea routes and ports in the Adriatic Sea to the Levant. They were necessary to support the expansion and authority of the Serenissima. The introduction of gunpowder led to significant shifts in military techniques and architecture that are reflected in the design of so-called alla moderna / bastioned, fortifications, which were to spread throughout Europe.",N45 42 12 E9 39 49,N/A,2017,(iii)(iv)
Venetian Works of Defence between the 16th and 17th Centuries: Stato da Terra – Western Stato da Mar,"Croatia, Italy, Montenegro","This property consists of 6 components of defence works in Italy, Croatia and Montenegro, spanning more than 1,000 km between the Lombard region of Italy and the eastern Adriatic Coast. The fortifications throughout the Stato da Terra protected the Republic of Venice from other European powers to the northwest and those of the Stato da Mar protected the sea routes and ports in the Adriatic Sea to the Levant. They were necessary to support the expansion and authority of the Serenissima. The introduction of gunpowder led to significant shifts in military techniques and architecture that are reflected in the design of so-called alla moderna / bastioned, fortifications, which were to spread throughout Europe.",N45 42 12 E9 39 49,N/A,2017,(iii)(iv)
Venetian Works of Defence between the 16th and 17th Centuries: Stato da Terra – Western Stato da Mar,"Croatia, Italy, Montenegro","This property consists of 6 components of defence works in Italy, Croatia and Montenegro, spanning more than 1,000 km between the Lombard region of Italy and the eastern Adriatic Coast. The fortifications throughout the Stato da Terra protected the Republic of Venice from other European powers to the northwest and those of the Stato da Mar protected the sea routes and ports in the Adriatic Sea to the Levant. They were necessary to support the expansion and authority of the Serenissima. The introduction of gunpowder led to significant shifts in military techniques and architecture that are reflected in the design of so-called alla moderna / bastioned, fortifications, which were to spread throughout Europe.",N45 42 12 E9 39 49,N/A,2017,(iii)(iv)
Venetian Works of Defence between the 16th and 17th Centuries: Stato da Terra – Western Stato da Mar,"Croatia, Italy, Montenegro","This property consists of 6 components of defence works in Italy, Croatia and Montenegro, spanning more than 1,000 km between the Lombard region of Italy and the eastern Adriatic Coast. The fortifications throughout the Stato da Terra protected the Republic of Venice from other European powers to the northwest and those of the Stato da Mar protected the sea routes and ports in the Adriatic Sea to the Levant. They were necessary to support the expansion and authority of the Serenissima. The introduction of gunpowder led to significant shifts in military techniques and architecture that are reflected in the design of so-called alla moderna / bastioned, fortifications, which were to spread throughout Europe.",N45 42 12 E9 39 49,N/A,2017,(iii)(iv)
Old Havana and its Fortification System,Cuba,"Havana was founded in 1519 by the Spanish. By the 17th century, it had become one of the Caribbean's main centres for ship-building. Although it is today a sprawling metropolis of 2 million inhabitants, its old centre retains an interesting mix of Baroque and neoclassical monuments, and a homogeneous ensemble of private houses with arcades, balconies, wrought-iron gates and internal courtyards.",N23 7 60 W82 20 60,Province of Ciudad de la Habana,1982,(iv)(v)
Trinidad and the Valley de los Ingenios,Cuba,"Founded in the early 16th century in honour of the Holy Trinity, the city was a bridgehead for the conquest of the American continent. Its 18th- and 19th-century buildings, such as the Palacio Brunet and the Palacio Cantero, were built in its days of prosperity from the sugar trade.",N21 48 11 W79 59 4,Province of Sancti Spiritus,1988,(iv)(v)
"San Pedro de la Roca Castle, Santiago de Cuba",Cuba,"Commercial and political rivalries in the Caribbean region in the 17th century resulted in the construction of this massive series of fortifications on a rocky promontory, built to protect the important port of Santiago. This intricate complex of forts, magazines, bastions and batteries is the most complete, best-preserved example of Spanish-American military architecture, based on Italian and Renaissance design principles.",N19 58 0 W75 52 15,Provincia de Santiago de Cuba,1997,(iv)(v)
Desembarco del Granma National Park,Cuba,"Desembarco del Granma National Park, with its uplifted marine terraces and associated ongoing development of karst topography and features, represents a globally significant example of geomorphologic and physiographic features and ongoing geological processes. The area, which is situated in and around Cabo Cruz in south-east Cuba, includes spectacular terraces and cliffs, as well as some of the most pristine and impressive coastal cliffs bordering the western Atlantic.",N19 52 59.988 W77 37 59.988,"Desembarco del Granma National Park, south-east corner of the the Republic of Cuba",1999,(vii)(viii)
Viñales Valley,Cuba,"The Viñales valley is encircled by mountains and its landscape is interspersed with dramatic rocky outcrops. Traditional techniques are still in use for agricultural production, particularly of tobacco. The quality of this cultural landscape is enhanced by the vernacular architecture of its farms and villages, where a rich multi-ethnic society survives, illustrating the cultural development of the islands of the Caribbean, and of Cuba.",N22 37 0.012 W83 43 0.012,Province of Pinar del Rio,1999,(iv)
Archaeological Landscape of the First Coffee Plantations in the South-East of Cuba,Cuba,"The remains of the 19th-century coffee plantations in the foothills of the Sierra Maestra are unique evidence of a pioneer form of agriculture in a difficult terrain. They throw considerable light on the economic, social, and technological history of the Caribbean and Latin American region.",N20 1 48 W75 23 29,"Santiago and Guantanamo Provinces, South-Eastern Region",2000,(iii)(iv)
Alejandro de Humboldt National Park,Cuba,Complex geology and varied topography have given rise to a diversity of ecosystems and species unmatched in the insular Caribbean and created one of the most biologically diverse tropical island sites on earth. Many of the underlying rocks are toxic to plants so species have had to adapt to survive in these hostile conditions. This unique process of evolution has resulted in the development of many new species and the park is one of the most important sites in the Western Hemisphere for the conservation of endemic flora. Endemism of vertebrates and invertebrates is also very high.,N20 26 60 W75 0 0,Guantánamo and Holguín Provinces,2001,(ix)(x)
Urban Historic Centre of Cienfuegos ,Cuba,"The colonial town of Cienfuegos was founded in 1819 in the Spanish territory but was initially settled by immigrants of French origin. It became a trading place for sugar cane, tobacco and coffee. Situated on the Caribbean coast of southern-central Cuba at the heart of the country’s sugar cane, mango, tobacco and coffee production area, the town first developed in the neoclassical style. It later became more eclectic but retained a harmonious overall townscape. Among buildings of particular interest are the Government Palace (City Hall), San Lorenzo School, the Bishopric, the Ferrer Palace, the former lyceum, and some residential houses. Cienfuegos is the first, and an outstanding example of an architectural ensemble representing the new ideas of modernity, hygiene and order in urban planning as developed in Latin America from the 19th century.",N22 8 49.992 W80 27 10.008,Municipality of Cienfuegos,2005,(ii)(iv)
Historic Centre of Camagüey,Cuba,"One of the first seven villages founded by the Spaniards in Cuba, Camagüey played a prominent role as the urban centre of an inland territory dedicated to cattle breeding and the sugar industry. Settled in its current location in 1528, the town developed on the basis of an irregular urban pattern that contains a system of large and minor squares, serpentine streets, alleys and irregular urban blocks, highly exceptional for Latin American colonial towns located in plain territories. The 54 ha Historic Centre of Camagüey constitutes an exceptional example of a traditional urban settlement relatively isolated from main trade routes. The Spanish colonizers followed medieval European influences in terms of urban layout and traditional construction techniques brought to the Americas by their masons and construction masters. The property reflects the influence of numerous styles through the ages: neoclassical, eclectic, Art Deco, Neo-colonial as well as some Art Nouveau and rationalism.",N21 22 43 W77 55 7,Camagüey Province,2008,(iv)(v)
Paphos,Cyprus,"Paphos has been inhabited since the Neolithic period. It was a centre of the cult of Aphrodite and of pre-Hellenic fertility deities. Aphrodite's legendary birthplace was on this island, where her temple was erected by the Myceneans in the 12th century B.C. The remains of villas, palaces, theatres, fortresses and tombs mean that the site is of exceptional architectural and historic value. The mosaics of Nea Paphos are among the most beautiful in the world.",N34 45 29.988 E32 24 20.016,District of Paphos,1980,(iii)(vi)
Painted Churches in the Troodos Region,Cyprus,"This region is characterized by one of the largest groups of churches and monasteries of the former Byzantine Empire. The complex of 10 monuments included on the World Heritage List, all richly decorated with murals, provides an overview of Byzantine and post-Byzantine painting in Cyprus. They range from small churches whose rural architectural style is in stark contrast to their highly refined decoration, to monasteries such as that of St John Lampadistis.",N34 55 13 E33 5 45,"Troodos Region, Districts of Nicosia and Limassol",1985,(ii)(iii)(iv)
Choirokoitia,Cyprus,"The Neolithic settlement of Choirokoitia, occupied from the 7th to the 4th millennium B.C., is one of the most important prehistoric sites in the eastern Mediterranean. Its remains and the finds from the excavations there have thrown much light on the evolution of human society in this key region. Since only part of the site has been excavated, it forms an exceptional archaeological reserve for future study.",N34 47 53.988 E33 20 35.988,District of Larnaca,1998,(ii)(iii)(iv)
Historic Centre of Český Krumlov,Czechia,"Situated on the banks of the Vltava river, the town was built around a 13th-century castle with Gothic, Renaissance and Baroque elements. It is an outstanding example of a small central European medieval town whose architectural heritage has remained intact thanks to its peaceful evolution over more than five centuries.",N48 49 0 E14 19 0,South Bohemian Region,1992,(iv)
Historic Centre of Prague,Czechia,"Built between the 11th and 18th centuries, the Old Town, the Lesser Town and the New Town speak of the great architectural and cultural influence enjoyed by this city since the Middle Ages. The many magnificent monuments, such as Hradcany Castle, St Vitus Cathedral, Charles Bridge and numerous churches and palaces, built mostly in the 14th century under the Holy Roman Emperor, Charles IV.",N50 5 22.992 E14 25 9.984,Prague,1992,(ii)(iv)(vi)
Historic Centre of Telč,Czechia,"The houses in Telc, which stands on a hilltop, were originally built of wood. After a fire in the late 14th century, the town was rebuilt in stone, surrounded by walls and further strengthened by a network of artificial ponds. The town's Gothic castle was reconstructed in High Gothic style in the late 15th century.",N49 10 59.988 E15 26 60,Vysocina Region,1992,(i)(iv)
Pilgrimage Church of St John of Nepomuk at Zelená Hora,Czechia,"This pilgrimage church, built in honour of St John of Nepomuk, stands at Zelená Hora, not far from Ždár nad Sázavou in Moravia. Constructed at the beginning of the 18th century on a star-shaped plan, it is the most unusual work by the great architect Jan Blazej Santini, whose highly original style falls between neo-Gothic and Baroque.",N49 34 48.72 E15 56 31.41,South Moravian Region,1994,(iv)
Kutná Hora: Historical Town Centre with the Church of St Barbara and the Cathedral of Our Lady at Sedlec,Czechia,"Kutná Hora developed as a result of the exploitation of the silver mines. In the 14th century it became a royal city endowed with monuments that symbolized its prosperity. The Church of St Barbara, a jewel of the late Gothic period, and the Cathedral of Our Lady at Sedlec, which was restored in line with the Baroque taste of the early 18th century, were to influence the architecture of central Europe. These masterpieces today form part of a well-preserved medieval urban fabric with some particularly fine private dwellings.",N49 57 0 E15 16 0,"City and District of Kutná Hora, Central Bohemian Region",1995,(ii)(iv)
Lednice-Valtice Cultural Landscape,Czechia,"Between the 17th and 20th centuries, the ruling dukes of Liechtenstein transformed their domains in southern Moravia into a striking landscape. It married Baroque architecture (mainly the work of Johann Bernhard Fischer von Erlach) and the classical and neo-Gothic style of the castles of Lednice and Valtice with countryside fashioned according to English romantic principles of landscape architecture. At 200 km2 , it is one of the largest artificial landscapes in Europe.",N48 46 32.988 E16 46 30,"Breclav District, South Moravian Region",1996,(i)(ii)(iv)
Gardens and Castle at Kroměříž,Czechia,"Kroměříž stands on the site of an earlier ford across the River Morava, at the foot of the Chriby mountain range which dominates the central part of Moravia. The gardens and castle of Kroměříž are an exceptionally complete and well-preserved example of a European Baroque princely residence and its gardens.",N49 17 60 E17 22 38,"City and District of Kroměříž, Zlin Region",1998,(ii)(iv)
Holašovice Historic Village,Czechia,"Holašovice is an exceptionally complete and well-preserved example of a traditional central European village. It has a large number of outstanding 18th- and 19th-century vernacular buildings in a style known as 'South Bohemian folk Baroque', and preserves a ground plan dating from the Middle Ages.",N48 57 35 E14 15 10,South Bohemian Region,1998,(ii)(iv)
Litomyšl Castle,Czechia,"Litomyšl Castle was originally a Renaissance arcade-castle of the type first developed in Italy and then adopted and greatly developed in central Europe in the 16th century. Its design and decoration are particularly fine, including the later High-Baroque features added in the 18th century. It preserves intact the range of ancillary buildings associated with an aristocratic residence of this type.",N49 52 24.996 E16 18 51.984,Pardubice Region,1999,(ii)(iv)
Holy Trinity Column in Olomouc,Czechia,"This memorial column, erected in the early years of the 18th century, is the most outstanding example of a type of monument specific to central Europe. In the characteristic regional style known as Olomouc Baroque and rising to a height of 35 m, it is decorated with many fine religious sculptures, the work of the distinguished Moravian artist Ondrej Zahner.",N49 35 38.17 E17 15 1.65,Olomouc Region,2000,(i)(iv)
Tugendhat Villa in Brno,Czechia,"The Tugendhat Villa in Brno, designed by the architect Mies van der Rohe, is an outstanding example of the international style in the modern movement in architecture as it developed in Europe in the 1920s. Its particular value lies in the application of innovative spatial and aesthetic concepts that aim to satisfy new lifestyle needs by taking advantage of the opportunities afforded by modern industrial production.",N49 12 25.86 E16 36 57.8,South Moravian Region,2001,(ii)(iv)
Jewish Quarter and St Procopius' Basilica in Třebíč,Czechia,"The ensemble of the Jewish Quarter, the old Jewish cemetery and the Basilica of St Procopius in Třebíč are reminders of the co-existence of Jewish and Christian cultures from the Middle Ages to the 20th century. The Jewish Quarter bears outstanding testimony to the different aspects of the life of this community. St Procopius' Basilica, built as part of the Benedictine monastery in the early 13th century, is a remarkable example of the influence of Western European architectural heritage in this region.",N49 13 2 E15 52 44,"Trebic district, Vysocina Region",2003,(ii)(iii)
Complex of Koguryo Tombs,Democratic People's Republic of Korea,"The property includes several group and individual tombs - totalling about 30 individual tombs - from the later period of the Koguryo Kingdom, one of the strongest kingdoms in nowadays northeast China and half of the Korean peninsula between the 3rd century BC to 7th century AD. The tombs, many with beautiful wall paintings, are almost the only remains of this culture. Only about 90 out of more than 10,000 Koguryo tombs discovered in China and Korea so far, have wall paintings. Almost half of these tombs are located on this site and they are thought to have been made for the burial of kings, members of the royal family and the aristocracy. These paintings offer a unique testimony to daily life of this period.",N38 51 47 E125 24 54,"Pyongyang, South Phyongan Province, Nampho, South Hwangghae Province",2004,(i)(ii)(iii)(iv)
Historic Monuments and Sites in Kaesong,Democratic People's Republic of Korea,"Situated in Kaesong city, in the south of the country, the site consists of 12 separate components, which together testify to the history and culture of the Koryo Dynasty from the 10th to 14th centuries. The geomantic layout of the former capital city of Kaesong, its palaces, institutions and tomb complex, defensive walls and gates embody the political, cultural, philosophical and spiritual values of a crucial era in the region’s history.  The monuments inscribed also include an astronomical and meteorological observatory, two schools (including one dedicated to educating national officials) and commemorative steles. The site testifies to the transition from Buddhism to neo-Confucianism in East Asia and to the assimilation of the cultural spiritual and political values of the states that existed prior to Korea’s unification under the Koryo Dynasty. The integration of Buddhist, Confucian, Taoist and geomantic concepts is manifest in the planning of the site and the architecture of its monuments.",N37 58 54 E126 30 29,N/A,2013,(ii)(iii)
Virunga National Park,Democratic Republic of the Congo,"Virunga National Park (covering an area of 790,000 ha) comprises an outstanding diversity of habitats, ranging from swamps and steppes to the snowfields of Rwenzori at an altitude of over 5,000 m, and from lava plains to the savannahs on the slopes of volcanoes. Mountain gorillas are found in the park, some 20,000 hippopotamuses live in the rivers and birds from Siberia spend the winter there.",N0 55 0 E29 10 0,Province of North-Kivu and Orientale province,1979,(vii)(viii)(x)
Kahuzi-Biega National Park,Democratic Republic of the Congo,"A vast area of primary tropical forest dominated by two spectacular extinct volcanoes, Kahuzi and Biega, the park has a diverse and abundant fauna. One of the last groups of eastern lowland (graueri) gorillas (consisting of only some 250 individuals) lives at between 2,100 and 2,400 m above sea-level.",S2 30 0 E28 45 0,Provinces of South-Kivu and Maniena,1980,(x)
Garamba National Park,Democratic Republic of the Congo,"The park's immense savannahs, grasslands and woodlands, interspersed with gallery forests along the river banks and the swampy depressions, are home to four large mammals: the elephant, giraffe, hippopotamus and above all the white rhinoceros. Though much larger than the black rhino, it is harmless; only some 30 individuals remain.",N4 0 0 E29 15 0,Orientale Province,1980,(vii)(x)
Salonga National Park,Democratic Republic of the Congo,"Salonga National Park is Africa's largest tropical rainforest reserve. Situated at the heart of the central basin of the Congo river, the park is very isolated and accessible only by water. It is the habitat of many endemic endangered species, such as the dwarf chimpanzee, the Congo peacock, the forest elephant and the African slender-snouted or 'false' crocodile.",S2 0 0 E21 0 0,"Provinces of Equateur, Bandundu and Kasaï Oriental and Occidental",1984,(vii)(ix)
Okapi Wildlife Reserve,Democratic Republic of the Congo,"The Okapi Wildlife Reserve occupies about one-fifth of the Ituri forest in the north-east of the Democratic Republic of the Congo. The Congo river basin, of which the reserve and forest are a part, is one of the largest drainage systems in Africa. The reserve contains threatened species of primates and birds and about 5,000 of the estimated 30,000 okapi surviving in the wild. It also has some dramatic scenery, including waterfalls on the Ituri and Epulu rivers. The reserve is inhabited by traditional nomadic pygmy Mbuti and Efe hunters.",N2 0 0 E28 30 0,Orientale Province,1996,(x)
"Jelling Mounds, Runic Stones and Church",Denmark,"The Jelling burial mounds and one of the runic stones are striking examples of pagan Nordic culture, while the other runic stone and the church illustrate the Christianization of the Danish people towards the middle of the 10th century.",N55 45 23 E9 25 12,"Vejle Commune, Region of Southern Denmark",1994,(iii)
Roskilde Cathedral,Denmark,"Built in the 12th and 13th centuries, this was Scandinavia's first Gothic cathedral to be built of brick and it encouraged the spread of this style throughout northern Europe. It has been the mausoleum of the Danish royal family since the 15th century. Porches and side chapels were added up to the end of the 19th century. Thus it provides a clear overview of the development of European religious architecture.",N55 38 32 E12 4 47,"Island of Sjaelland, City of Roskilde, Sealand Region",1995,(ii)(iv)
Kronborg Castle,Denmark,"Located on a strategically important site commanding the Sund, the stretch of water between Denmark and Sweden, the Royal castle of Kronborg at Helsingør (Elsinore) is of immense symbolic value to the Danish people and played a key role in the history of northern Europe in the 16th-18th centuries. Work began on the construction of this outstanding Renaissance castle in 1574, and its defences were reinforced according to the canons of the period's military architecture in the late 17th century. It has remained intact to the present day. It is world-renowned as Elsinore, the setting of Shakespeare's Hamlet.",N56 2 20.004 E12 37 15,"Island of Sjaelland, City of Helsingör, Capital Region of Denmark",2000,(iv)
Ilulissat Icefjord,Denmark,"Located on the west coast of Greenland, 250 km north of the Arctic Circle, Greenland’s Ilulissat Icefjord is the sea mouth of Sermeq Kujalleq, one of the few glaciers through which the Greenland ice cap reaches the sea. Sermeq Kujalleq is one of the fastest and most active glaciers in the world. It annually calves over 35 km3 of ice, i.e. 10% of the production of all Greenland calf ice and more than any other glacier outside Antarctica. Studied for over 250 years, it has helped to develop our understanding of climate change and icecap glaciology. The combination of a huge ice-sheet and the dramatic sounds of a fast-moving glacial ice-stream calving into a fjord covered by icebergs makes for a dramatic and awe-inspiring natural phenomenon.",N69 7 60 W49 30 0,"West coast of Greenland, Bay of Disko Bugt (bight), Municipality of Ilulissat",2004,(vii)(viii)
Wadden Sea,"Denmark, Germany, Netherlands","The Wadden Sea is the largest unbroken system of intertidal sand and mud flats in the world. The site covers the Dutch Wadden Sea Conservation Area, the German Wadden Sea National Parks of Lower Saxony and Schleswig-Holstein, and most of the Danish Wadden Sea maritime conservation area. It is a large, temperate, relatively flat coastal wetland environment, formed by the intricate interactions between physical and biological factors that have given rise to a multitude of transitional habitats with tidal channels, sandy shoals, sea-grass meadows, mussel beds, sandbars, mudflats, salt marshes, estuaries, beaches and dunes. The area is home to numerous plant and animal species, including marine mammals such as the harbour seal, grey seal and harbour porpoise. Wadden Sea is one of the last remaining large-scale, intertidal ecosystems where natural processes continue to function largely undisturbed.",N53 31 43 E8 33 22,N/A,2009,(viii)(ix)(x)
Stevns Klint,Denmark,"This geological site comprises a 15 km-long fossil-rich coastal cliff, offering exceptional evidence of the impact of the Chicxulub meteorite that crashed into the planet at the end of the Cretaceous, about 65 million years ago. Researchers think that this caused the most remarkable mass extinction ever, responsible for the disappearance of over 50 per cent of all life on Earth. The site harbours a record of the cloud of ash formed by the impact of the meteorite – the exact site being at the bottom of the ocean off the coast of Mexico’s Yucatán Peninsula. An exceptional fossil record is visible at the site, showing the complete succession of fauna and micro-fauna charting the recovery after the mass extinction.",N55 16 2 E12 25 24,N/A,2014,(viii)
"Christiansfeld, a Moravian Church Settlement",Denmark,"Founded in 1773 in South Jutland, the site is an example of a planned settlement of the Moravian Church, a Lutheran free congregation centred in Herrnhut, Saxony. The town was planned to represent the Protestant urban ideal, constructed around a central Church square. The architecture is homogenous and unadorned, with one and two-storey buildings in yellow brick with red tile roofs. The democratic organization of the Moravian Church, with its pioneering egalitarian philosophy, is expressed in its humanistic town planning. The settlement’s plan opens onto agricultural land and includes important buildings for the common welfare such as large communal houses for the congregation’s widows and unmarried men and women. The buildings are still in use and many are still owned by the local Moravian Church community .",N55 21 20 E9 28 53,N55 21 20 E9 28 53,2015,(iii)(iv)
The par force hunting landscape in North Zealand,Denmark,"Located about 30 km northeast of Copenhagen, this cultural landscape encompasses the two hunting forests of Store Dyrehave and Gribskov, as well as the hunting park of Jægersborg Hegn/Jægersborg Dyrehave. This is a designed landscape where Danish kings and their court practiced par force hunting, or hunting with hounds, which reached its peak between the 17th and the late 18th centuries, when the absloute monarchs transformed it into a landscape of power. With hunting lanes laid out in a star system, combined with an orthogonal grid pattern, numbered stone posts, fences and a hunting lodge, the site demonstrates the application of Baroque landscaping principles to forested areas.",N55 54 49 E12 21 28,N/A,2015,(ii)(iv)
Kujataa Greenland: Norse and Inuit Farming at the Edge of the Ice Cap,Denmark,"Kujataa is a subarctic farming landscape located in the southern region of Greenland. It bears witness to the cultural histories of the Norse farmer-hunters who started arriving from Iceland in the 10th century and of the Inuit hunters and Inuit farming communities that developed from the end of the 18th century. Despite their differences, the two cultures, European Norse and Inuit, created a cultural landscape based on farming, grazing and marine mammal hunting. The landscape represents the earliest introduction of farming to the Arctic, and the Norse expansion of settlement beyond Europe.",N61 9 52 W45 35 53,N/A,2017,(v)
Aasivissuit – Nipisat. Inuit Hunting Ground between Ice and Sea,Denmark,"Located inside the Arctic Circle in the central part of West Greenland, the property contains the remains of 4,200 years of human history. It is a cultural landscape which bears witness to its creators’ hunting of land and sea animals, seasonal migrations and a rich and well-preserved tangible and intangible cultural heritage linked to climate, navigation and medicine. The features of the property include large winter houses and evidence of caribou hunting, as well as archaeological sites from Paleo-Inuit and Inuit cultures. The cultural landscape includes seven key localities, from Nipisat in the west to Aasivissuit, near the ice cap in the east. It bears testimony to the resilience of the human cultures of the region and their traditions of seasonal migration.",N67 3 50.15 W51 25 59.54,N/A,2018,(v)
Morne Trois Pitons National Park,Dominica,"Luxuriant natural tropical forest blends with scenic volcanic features of great scientific interest in this national park centred on the 1,342-m-high volcano known as Morne Trois Pitons. With its precipitous slopes and deeply incised valleys, 50 fumaroles, hot springs, three freshwater lakes, a 'boiling lake' and five volcanoes, located on the park's nearly 7,000 ha, together with the richest biodiversity in the Lesser Antilles, Morne Trois Pitons National Park presents a rare combination of natural features of World Heritage value.",N15 16 0 W61 16 60,South central part of the island,1997,(viii)(x)
Colonial City of Santo Domingo,Dominican Republic,"After Christopher Columbus's arrival on the island in 1492, Santo Domingo became the site of the first cathedral, hospital, customs house and university in the Americas. This colonial town, founded in 1498, was laid out on a grid pattern that became the model for almost all town planners in the New World.",N18 28 60 W69 55 0,Distrito Nacional,1990,(ii)(iv)(vi)
City of Quito,Ecuador,"Quito, the capital of Ecuador, was founded in the 16th century on the ruins of an Inca city and stands at an altitude of 2,850 m. Despite the 1917 earthquake, the city has the best-preserved, least altered historic centre in Latin America. The monasteries of San Francisco and Santo Domingo, and the Church and Jesuit College of La Compañía, with their rich interiors, are pure examples of the 'Baroque school of Quito', which is a fusion of Spanish, Italian, Moorish, Flemish and indigenous art.",N0 0 14 W78 30 0,"Province of Pinchinada, City and Canton of Quito",1978,(ii)(iv)
Galápagos Islands,Ecuador,"Situated in the Pacific Ocean some 1,000 km from the South American continent, these 19 islands and the surrounding marine reserve have been called a unique ‘living museum and showcase of evolution’. Located at the confluence of three ocean currents, the Galápagos are a ‘melting pot’ of marine species. Ongoing seismic and volcanic activity reflects the processes that formed the islands. These processes, together with the extreme isolation of the islands, led to the development of unusual animal life – such as the land iguana, the giant tortoise and the many types of finch – that inspired Charles Darwin’s theory of evolution by natural selection following his visit in 1835.",N0 49 0.012 W91 0 0,N/A,1978,(vii)(viii)(ix)(x)
Sangay National Park,Ecuador,"With its outstanding natural beauty and two active volcanoes, the park illustrates the entire spectrum of ecosystems, ranging from tropical rainforests to glaciers, with striking contrasts between the snowcapped peaks and the forests of the plains. Its isolation has encouraged the survival of indigenous species such as the mountain tapir and the Andean condor.",S1 49 59.988 W78 19 59.988,"Provinces of Morona Santiago, Chimborazo and Tungurahua",1983,(vii)(viii)(ix)(x)
